 1:239.802 2:232.03 3:226.607 4:239.802 5:193.619 6:219.44 #1902
 1:241.097 2:236.8 3:233.775 4:241.097 5:168.84 6:199.662 #1908
 1:241.353 2:235.938 3:232.041 4:241.353 5:199.152 6:223.729 #1914
 1:238.943 2:233.798 3:229.888 4:238.943 5:193.765 6:217.48 #1920
 1:210.538 2:201.844 3:200.072 4:210.538 5:191.112 6:216.011 #1926
 1:238.85 2:233.521 3:230.218 4:238.85 5:186.749 6:211.611 #1932
 1:239.107 2:234.961 3:232.625 4:239.107 5:184.053 6:208.194 #1938
 1:240.294 2:236.534 3:233.111 4:240.294 5:217.044 6:234.256 #1944
 1:237.052 2:233.815 3:230.815 4:237.052 5:198.381 6:217.693 #1950
 1:210.188 2:203.873 3:202.219 4:210.188 5:184.903 6:210.018 #1956
 1:238.097 2:232.182 3:227.918 4:238.097 5:186.515 6:208.678 #1962
 1:239.793 2:236.533 3:234.28 4:239.793 5:183.134 6:212.828 #1968
 1:239.794 2:235.941 3:232.784 4:239.794 5:187.368 6:216.126 #1974
 1:241.865 2:237.607 3:234.073 4:241.865 5:174.166 6:202.221 #1980
 1:214.412 2:205.016 3:203.076 4:214.412 5:198.401 6:219.45 #1986
 1:242.754 2:240.397 3:238.118 4:242.754 5:194.839 6:216.946 #1992
 1:244.318 2:243.815 3:242.841 4:244.318 5:171.572 6:198.729 #1998
 1:239.708 2:237.437 3:235.611 4:239.708 5:188.898 6:216.457 #2004
 1:238.399 2:235.695 3:232.998 4:238.399 5:171.121 6:196.798 #2010
 1:208.502 2:199.686 3:198.585 4:208.502 5:159.628 6:179.508 #2016
 1:242.558 2:239.952 3:237.814 4:242.558 5:182.99 6:207.123 #2022
 1:243.523 2:244.496 3:243.49 4:243.523 5:184.123 6:207.643 #2028
 1:238.23 2:241.199 3:241.057 4:238.23 5:179.151 6:207.223 #2034
 1:237.626 2:239.633 3:239.302 4:237.626 5:158.809 6:182.242 #2040
 1:206.767 2:203.741 3:204.369 4:206.767 5:185.527 6:204.036 #2046
 1:222.842 2:233.372 3:230.612 4:222.842 5:222.104 6:223.136 #2052
 1:210.69 2:225.824 3:220.839 4:210.69 5:232.213 6:235.247 #2058
 1:205.739 2:220.098 3:215.432 4:205.739 5:235.245 6:234.988 #2064
