? 1:122.736 2:12108000 3:110.158 #506
? 1:114.785 2:118918000 3:102.859 #507
? 1:256.272 2:298140 3:141.703 #508
? 1:496.88 2:120257000 3:132.411 #509
? 1:241.964 2:86830.9 3:232.257 #510
? 1:221.335 2:32276.3 3:271.012 #511
? 1:149.919 2:15425.1 3:179.228 #512
? 1:207.837 2:409453 3:178.687 #513
? 1:179.775 2:123744000 3:109.819 #514
? 1:136.322 2:38196.4 3:92.5028 #515
? 1:133.918 2:3339.09 3:89.4194 #516
? 1:140.141 2:1753.54 3:90.4017 #517
? 1:242.374 2:2211.06 3:91.2489 #518
? 1:183.051 2:27296.8 3:85.9043 #519
? 1:150.649 2:47662.5 3:88.2365 #520
? 1:114.733 2:2734.33 3:82.9757 #521
? 1:108.952 2:2274.68 3:79.4162 #522
? 1:109.705 2:125096000 3:87.2747 #523
? 1:105.338 2:126816000 3:90.9467 #524
? 1:100.65 2:74297.7 3:122.405 #525
? 1:101.065 2:12146.7 3:146.954 #526
? 1:97.0761 2:4840.49 3:136.207 #527
? 1:120.713 2:8215.53 3:198.227 #528
? 1:133.936 2:13210.5 3:188.271 #529
? 1:133.427 2:1979.29 3:369.248 #530
? 1:146.655 2:1229.45 3:415.583 #531
? 1:141.008 2:905.386 3:408.159 #532
? 1:190.738 2:1595.49 3:374.131 #533
? 1:127.834 2:835.985 3:281.686 #534
? 1:160.071 2:892.193 3:227.519 #535
? 1:164.14 2:933.168 3:179.02 #536
? 1:175.608 2:1104.85 3:149.599 #537
? 1:252.768 2:1978.98 3:144.311 #538
? 1:169.733 2:3630.57 3:121.221 #539
? 1:256.04 2:2174.07 3:127.477 #540
? 1:310.334 2:1825.16 3:129.939 #541
? 1:170.112 2:131707000 3:126.203 #542
? 1:243.341 2:133953000 3:132.107 #543
? 1:316.984 2:134597000 3:124.208 #544
? 1:279.694 2:135687000 3:178.32 #545
? 1:234.402 2:136529000 3:203.175 #546
? 1:320.189 2:134943000 3:231.852 #547
? 1:736.364 2:136119000 3:336.891 #548
? 1:497.072 2:138038000 3:591.03 #549
? 1:284.861 2:138582000 3:1056.37 #550
? 1:143.109 2:137896000 3:1156.1 #551
? 1:122.28 2:13674000 3:1141.15 #552
? 1:145.528 2:137444000 3:1362.32 #553
? 1:101.799 2:138669000 3:2532.96 #554
? 1:99.3135 2:468091 3:8741.09 #555
? 1:98.8156 2:464189 3:1139.07 #556
? 1:97.9607 2:137619000 3:427.437 #557
? 1:100.557 2:138967000 3:517.598 #558
? 1:99.8187 2:137219000 3:261.414 #559
? 1:97.3401 2:136712000 3:174.913 #560
? 1:94.2533 2:136366000 3:142.46 #561
? 1:90.8914 2:134489000 3:204.141 #562
? 1:92.6324 2:134071000 3:1223.49 #563
? 1:92.9284 2:134314000 3:1414.5 #564
? 1:92.4804 2:452652 3:606.731 #565
? 1:91.5183 2:132196000 3:201.522 #566
? 1:91.2797 2:131157000 3:128.023 #567
? 1:92.2041 2:132611000 3:165.161 #568
? 1:90.3777 2:134118000 3:108.215 #569
? 1:90.4235 2:13472000 3:92.4979 #570
? 1:96.9351 2:134912000 3:83.7366 #571
